iter 1010: loss 2.5008, time 1250.99ms, mfu 22.17%, 0.51 GB
iter 1020: loss 2.1174, time 1252.50ms, mfu 22.19%, 0.52 GB
iter 1030: loss 2.2811, time 1254.87ms, mfu 22.21%, 0.52 GB
iter 1040: loss 2.2683, time 1252.58ms, mfu 22.22%, 0.53 GB
iter 1050: loss 2.1971, time 1252.99ms, mfu 22.24%, 0.53 GB
iter 1060: loss 1.9985, time 1252.91ms, mfu 22.25%, 0.54 GB
iter 1070: loss 2.1569, time 1255.00ms, mfu 22.26%, 0.54 GB
iter 1080: loss 1.9749, time 1253.70ms, mfu 22.27%, 0.55 GB
iter 1090: loss 2.3803, time 1255.09ms, mfu 22.27%, 0.55 GB
iter 1100: loss 2.0500, time 1252.47ms, mfu 22.28%, 0.56 GB
iter 1110: loss 2.2416, time 1253.43ms, mfu 22.29%, 0.56 GB
iter 1120: loss 2.2559, time 1250.07ms, mfu 22.30%, 0.57 GB
iter 1130: loss 2.3946, time 1257.23ms, mfu 22.30%, 0.57 GB
iter 1140: loss 2.0627, time 1254.99ms, mfu 22.30%, 0.58 GB
iter 1150: loss 2.2921, time 1253.62ms, mfu 22.31%, 0.58 GB
iter 1160: loss 2.1162, time 1254.93ms, mfu 22.31%, 0.59 GB
iter 1170: loss 2.3892, time 1254.43ms, mfu 22.31%, 0.59 GB
iter 1180: loss 2.3912, time 1253.39ms, mfu 22.32%, 0.60 GB
iter 1190: loss 2.4550, time 1254.94ms, mfu 22.32%, 0.60 GB
step 1200: train loss 2.2137, val loss 2.2392
saving checkpoint to out/r2a-s1338
iter 1200: loss 2.3915, time 5416.63ms, mfu 20.61%, 0.61 GB
iter 1210: loss 2.3116, time 1252.75ms, mfu 20.78%, 0.61 GB
iter 1220: loss 2.2288, time 1255.38ms, mfu 20.94%, 0.62 GB
iter 1230: loss 2.1112, time 1250.49ms, mfu 21.08%, 0.62 GB
iter 1240: loss 2.3465, time 1253.74ms, mfu 21.21%, 0.63 GB
iter 1250: loss 2.1821, time 1263.16ms, mfu 21.31%, 0.63 GB
iter 1260: loss 2.3917, time 1249.86ms, mfu 21.42%, 0.64 GB
iter 1270: loss 2.1719, time 1254.42ms, mfu 21.51%, 0.64 GB
iter 1280: loss 2.2308, time 1252.50ms, mfu 21.60%, 0.65 GB
iter 1290: loss 1.9490, time 1252.24ms, mfu 21.68%, 0.65 GB
iter 1300: loss 2.2704, time 1256.04ms, mfu 21.74%, 0.66 GB
iter 1310: loss 2.3071, time 1244.19ms, mfu 21.82%, 0.67 GB
iter 1320: loss 2.4263, time 1242.05ms, mfu 21.89%, 0.67 GB
iter 1330: loss 2.2227, time 1238.41ms, mfu 21.97%, 0.68 GB
iter 1340: loss 2.3376, time 1242.45ms, mfu 22.02%, 0.68 GB
iter 1350: loss 2.1203, time 1244.64ms, mfu 22.07%, 0.69 GB
iter 1360: loss 2.0389, time 1241.08ms, mfu 22.12%, 0.69 GB
iter 1370: loss 2.3218, time 1242.06ms, mfu 22.17%, 0.70 GB
iter 1380: loss 2.1705, time 1239.95ms, mfu 22.21%, 0.70 GB
iter 1390: loss 2.0673, time 1240.72ms, mfu 22.25%, 0.71 GB
iter 1400: loss 2.1770, time 1238.69ms, mfu 22.29%, 0.71 GB
iter 1410: loss 2.1406, time 1239.54ms, mfu 22.32%, 0.72 GB
iter 1420: loss 2.0198, time 1244.65ms, mfu 22.34%, 0.72 GB
iter 1430: loss 2.1645, time 1240.39ms, mfu 22.36%, 0.73 GB
iter 1440: loss 2.1259, time 1239.01ms, mfu 22.39%, 0.73 GB
iter 1450: loss 2.2192, time 1241.48ms, mfu 22.41%, 0.74 GB
iter 1460: loss 2.4540, time 1240.91ms, mfu 22.43%, 0.74 GB
iter 1470: loss 2.1089, time 1241.34ms, mfu 22.44%, 0.75 GB
iter 1480: loss 2.1178, time 1238.68ms, mfu 22.46%, 0.75 GB
iter 1490: loss 2.1552, time 1239.87ms, mfu 22.47%, 0.76 GB
iter 1500: loss 2.2378, time 1238.78ms, mfu 22.49%, 0.76 GB
iter 1510: loss 1.9184, time 1239.29ms, mfu 22.50%, 0.77 GB
iter 1520: loss 2.1545, time 1241.41ms, mfu 22.51%, 0.77 GB
iter 1530: loss 2.2673, time 1239.75ms, mfu 22.52%, 0.78 GB
iter 1540: loss 1.9711, time 1241.65ms, mfu 22.52%, 0.78 GB
iter 1550: loss 2.5472, time 1240.26ms, mfu 22.53%, 0.79 GB
iter 1560: loss 2.1448, time 1242.01ms, mfu 22.53%, 0.79 GB
iter 1570: loss 2.2059, time 1238.35ms, mfu 22.54%, 0.80 GB
iter 1580: loss 2.1123, time 1240.46ms, mfu 22.55%, 0.80 GB
iter 1590: loss 2.3534, time 1239.54ms, mfu 22.55%, 0.81 GB
step 1600: train loss 2.1386, val loss 2.1983
saving checkpoint to out/r2a-s1338
iter 1600: loss 2.1531, time 5356.37ms, mfu 20.82%, 0.81 GB
iter 1610: loss 1.8957, time 1240.19ms, mfu 21.00%, 0.82 GB
iter 1620: loss 2.2738, time 1243.14ms, mfu 21.15%, 0.82 GB
iter 1630: loss 2.1119, time 1238.73ms, mfu 21.30%, 0.83 GB
iter 1640: loss 2.4532, time 1239.01ms, mfu 21.43%, 0.83 GB
iter 1650: loss 2.2131, time 1239.80ms, mfu 21.55%, 0.84 GB
iter 1660: loss 1.8724, time 1238.91ms, mfu 21.66%, 0.84 GB
iter 1670: loss 2.0303, time 1240.22ms, mfu 21.75%, 0.85 GB
iter 1680: loss 2.3914, time 1240.50ms, mfu 21.83%, 0.85 GB
iter 1690: loss 2.0554, time 1239.62ms, mfu 21.91%, 0.86 GB
iter 1700: loss 2.0384, time 1239.99ms, mfu 21.98%, 0.86 GB
iter 1710: loss 2.1650, time 1239.82ms, mfu 22.04%, 0.87 GB
iter 1720: loss 2.1717, time 1238.62ms, mfu 22.10%, 0.87 GB
iter 1730: loss 2.0073, time 1242.38ms, mfu 22.15%, 0.88 GB
iter 1740: loss 2.1240, time 1238.19ms, mfu 22.19%, 0.88 GB
iter 1750: loss 2.1564, time 1238.73ms, mfu 22.24%, 0.89 GB
iter 1760: loss 1.9530, time 1240.04ms, mfu 22.27%, 0.89 GB
iter 1770: loss 2.2021, time 1241.33ms, mfu 22.30%, 0.90 GB
iter 1780: loss 2.3958, time 1241.26ms, mfu 22.33%, 0.90 GB
iter 1790: loss 2.0525, time 1249.19ms, mfu 22.34%, 0.91 GB
iter 1800: loss 2.2469, time 1241.43ms, mfu 22.36%, 0.91 GB
iter 1810: loss 2.1926, time 1262.78ms, mfu 22.35%, 0.92 GB
iter 1820: loss 2.1545, time 1258.44ms, mfu 22.34%, 0.92 GB
iter 1830: loss 2.1643, time 1254.70ms, mfu 22.34%, 0.93 GB
iter 1840: loss 1.7624, time 1272.61ms, mfu 22.31%, 0.93 GB
iter 1850: loss 2.1755, time 1253.99ms, mfu 22.31%, 0.94 GB
iter 1860: loss 2.0855, time 1245.40ms, mfu 22.33%, 0.94 GB
iter 1870: loss 2.2766, time 1244.24ms, mfu 22.35%, 0.95 GB
iter 1880: loss 2.3445, time 1309.23ms, mfu 22.26%, 0.95 GB
iter 1890: loss 2.0685, time 1246.84ms, mfu 22.28%, 0.96 GB
iter 1900: loss 1.9591, time 1251.81ms, mfu 22.29%, 0.96 GB
iter 1910: loss 2.2156, time 1258.80ms, mfu 22.29%, 0.97 GB
iter 1920: loss 2.0143, time 1240.61ms, mfu 22.32%, 0.97 GB
iter 1930: loss 1.9712, time 1245.45ms, mfu 22.33%, 0.98 GB
iter 1940: loss 2.2993, time 1241.24ms, mfu 22.36%, 0.98 GB
iter 1950: loss 1.9178, time 1239.97ms, mfu 22.38%, 0.99 GB
iter 1960: loss 2.1315, time 1245.56ms, mfu 22.39%, 1.00 GB
iter 1970: loss 1.9318, time 1239.60ms, mfu 22.42%, 1.00 GB
iter 1980: loss 2.1359, time 1255.12ms, mfu 22.41%, 1.01 GB
iter 1990: loss 1.9561, time 1282.46ms, mfu 22.35%, 1.01 GB
step 2000: train loss 2.0707, val loss 2.1293
saving checkpoint to out/r2a-s1338
iter 2000: loss 1.9949, time 5414.75ms, mfu 20.63%, 1.02 GB
iter 2010: loss 1.9177, time 1239.25ms, mfu 20.83%, 1.02 GB
iter 2020: loss 2.1308, time 1239.83ms, mfu 21.01%, 1.03 GB
iter 2030: loss 2.2043, time 1241.56ms, mfu 21.17%, 1.03 GB
iter 2040: loss 2.1526, time 1242.14ms, mfu 21.30%, 1.04 GB
iter 2050: loss 2.0167, time 1240.62ms, mfu 21.43%, 1.04 GB
iter 2060: loss 2.0774, time 1257.32ms, mfu 21.52%, 1.05 GB
iter 2070: loss 1.9157, time 1241.70ms, mfu 21.62%, 1.05 GB
iter 2080: loss 2.2678, time 1239.55ms, mfu 21.72%, 1.06 GB
iter 2090: loss 2.0712, time 1239.02ms, mfu 21.81%, 1.06 GB
iter 2100: loss 1.8328, time 1256.13ms, mfu 21.86%, 1.07 GB
iter 2110: loss 2.0369, time 1255.04ms, mfu 21.91%, 1.07 GB
iter 2120: loss 2.0954, time 1250.98ms, mfu 21.96%, 1.08 GB
iter 2130: loss 2.4396, time 1268.75ms, mfu 21.97%, 1.08 GB
iter 2140: loss 1.9115, time 1256.99ms, mfu 22.00%, 1.09 GB
iter 2150: loss 1.9901, time 1253.54ms, mfu 22.04%, 1.09 GB
iter 2160: loss 1.9228, time 1254.72ms, mfu 22.07%, 1.10 GB
iter 2170: loss 2.1943, time 1239.84ms, mfu 22.12%, 1.10 GB
iter 2180: loss 2.0471, time 1241.09ms, mfu 22.17%, 1.11 GB
iter 2190: loss 2.0382, time 1241.09ms, mfu 22.21%, 1.11 GB
iter 2200: loss 1.8684, time 1241.16ms, mfu 22.25%, 1.12 GB
iter 2210: loss 2.0149, time 1239.59ms, mfu 22.28%, 1.12 GB
iter 2220: loss 1.9460, time 1239.70ms, mfu 22.31%, 1.13 GB
iter 2230: loss 2.1905, time 1243.01ms, mfu 22.34%, 1.13 GB
iter 2240: loss 2.1513, time 1239.56ms, mfu 22.36%, 1.14 GB
iter 2250: loss 2.0645, time 1245.11ms, mfu 22.38%, 1.14 GB
iter 2260: loss 1.9548, time 1245.61ms, mfu 22.39%, 1.15 GB
iter 2270: loss 1.8936, time 1281.56ms, mfu 22.34%, 1.15 GB
iter 2280: loss 1.9999, time 1238.97ms, mfu 22.37%, 1.16 GB
iter 2290: loss 2.1315, time 1239.92ms, mfu 22.39%, 1.16 GB
iter 2300: loss 2.1580, time 1249.29ms, mfu 22.39%, 1.17 GB
iter 2310: loss 1.9308, time 1247.43ms, mfu 22.40%, 1.17 GB
iter 2320: loss 1.9486, time 1241.17ms, mfu 22.42%, 1.18 GB
iter 2330: loss 2.3306, time 1241.40ms, mfu 22.43%, 1.18 GB
iter 2340: loss 1.9332, time 1240.69ms, mfu 22.45%, 1.19 GB
iter 2350: loss 2.0809, time 1276.23ms, mfu 22.40%, 1.19 GB
iter 2360: loss 2.0702, time 1240.74ms, mfu 22.42%, 1.20 GB
iter 2370: loss 2.1726, time 1253.32ms, mfu 22.41%, 1.20 GB
